order_id,order_date,store_id,region,product_id,category,quantity,unit_price,discount
O00001,2026-03-23,S01,Berlin,P01,Beverages,5,3.32,0.05
O00002,2026-03-28,S05,Frankfurt,P01,Beverages,10,3.45,0.05
O00003,2026-01-30,S05,Frankfurt,P05,Household,1,5.57,0.0
O00004,2026-03-31,S05,Frankfurt,P04,Produce,4,0.79,0.05
O00005,2026-01-21,S04,Cologne,P03,Dairy,5,1.12,0.0
O00006,2026-02-13,S01,Berlin,P01,Beverages,7,3.22,0.0
O00007,2026-03-19,S03,Munich,P07,Bakery,1,1.57,0.0
O00008,2026-02-18,S01,Berlin,P05,Household,5,5.86,0.0
O00009,2026-02-16,S05,Frankfurt,P02,Snacks,2,1.82,0.1
O00010,2026-01-11,S02,Hamburg,P07,Bakery,2,1.46,0.0
O00011,2026-02-16,S02,Hamburg,P03,Dairy,6,1.13,0.15
O00012,2026-03-24,S01,Berlin,P05,Household,3,5.54,0.1
O00013,2026-02-18,S03,Munich,P06,Frozen,9,3.96,0.0
O00014,2026-01-08,S02,Hamburg,P07,Bakery,1,1.59,0.0
O00015,2026-01-09,S02,Hamburg,P05,Household,6,5.18,0.0
O00016,2026-03-24,S04,Cologne,P02,Snacks,5,1.86,0.0
O00017,2026-03-10,S03,Munich,P06,Frozen,10,4.14,0.0
O00018,2026-02-16,S02,Hamburg,P02,Snacks,9,2.0,0.0
O00019,2026-01-15,S02,Hamburg,P06,Frozen,3,4.45,0.0
O00020,2026-01-09,S04,Cologne,P04,Produce,10,0.88,0.0
O00021,2026-03-12,S01,Berlin,P06,Frozen,2,4.35,0.0
O00022,2026-02-04,S03,Munich,P01,Beverages,5,3.45,0.0
O00023,2026-02-03,S05,Frankfurt,P07,Bakery,3,1.5,0.15
O00024,2026-02-08,S05,Frankfurt,P05,Household,4,5.12,0.0
O00025,2026-03-11,S05,Frankfurt,P01,Beverages,10,3.38,0.1
O00026,2026-02-09,S02,Hamburg,P01,Beverages,4,3.76,0.0
O00027,2026-01-11,S04,Cologne,P07,Bakery,2,1.64,0.0
O00028,2026-01-17,S02,Hamburg,P06,Frozen,8,4.58,0.15
O00029,2026-03-19,S04,Cologne,P02,Snacks,9,2.1,0.0
O00030,2026-02-09,S04,Cologne,P06,Frozen,6,4.15,0.0
O00031,2026-01-16,S02,Hamburg,P02,Snacks,2,1.94,0.0
O00032,2026-01-30,S05,Frankfurt,P02,Snacks,1,1.83,0.0
O00033,2026-01-30,S01,Berlin,P01,Beverages,6,3.2,0.15
O00034,2026-03-04,S02,Hamburg,P05,Household,3,5.75,0.0
O00035,2026-03-15,S04,Cologne,P02,Snacks,8,2.12,0.05
O00036,2026-03-26,S04,Cologne,P03,Dairy,7,1.18,0.0
O00037,2026-01-07,S01,Berlin,P01,Beverages,7,3.66,0.0
O00038,2026-01-14,S02,Hamburg,P02,Snacks,4,2.01,0.05
O00039,2026-02-05,S04,Cologne,P02,Snacks,2,1.98,0.0
O00040,2026-03-12,S01,Berlin,P01,Beverages,9,3.74,0.0
O00041,2026-01-31,S02,Hamburg,P04,Produce,8,0.8,0.0
O00042,2026-01-08,S02,Hamburg,P04,Produce,1,0.88,0.1
O00043,2026-02-06,S04,Cologne,P06,Frozen,9,4.34,0.0
O00044,2026-01-25,S03,Munich,P02,Snacks,1,2.03,0.0
O00045,2026-02-10,S01,Berlin,P01,Beverages,10,3.48,0.0
O00046,2026-03-09,S02,Hamburg,P01,Beverages,9,3.21,0.15
O00047,2026-01-09,S02,Hamburg,P04,Produce,2,0.87,0.0
O00048,2026-03-16,S05,Frankfurt,P01,Beverages,10,3.21,0.0
O00049,2026-03-14,S05,Frankfurt,P03,Dairy,5,1.13,0.0
O00050,2026-01-31,S03,Munich,P04,Produce,3,0.83,0.1
O00051,2026-01-10,S01,Berlin,P04,Produce,10,0.88,0.0
O00052,2026-01-10,S05,Frankfurt,P02,Snacks,9,1.91,0.0
O00053,2026-01-09,S02,Hamburg,P03,Dairy,5,1.12,0.0
O00054,2026-02-08,S05,Frankfurt,P07,Bakery,9,1.35,0.0
O00055,2026-02-08,S01,Berlin,P02,Snacks,5,1.85,0.15
O00056,2026-01-20,S03,Munich,P03,Dairy,10,1.13,0.0
O00057,2026-03-29,S03,Munich,P05,Household,8,5.23,0.0
O00058,2026-01-07,S01,Berlin,P06,Frozen,7,4.48,0.1
O00059,2026-01-17,S03,Munich,P02,Snacks,8,2.02,0.0
O00060,2026-01-02,S01,Berlin,P01,Beverages,3,3.53,0.0
O00061,2026-03-16,S05,Frankfurt,P02,Snacks,7,1.85,0.0
O00062,2026-01-06,S03,Munich,P02,Snacks,4,2.07,0.0
O00063,2026-03-13,S04,Cologne,P05,Household,3,5.97,0.05
O00064,2026-01-23,S04,Cologne,P01,Beverages,3,3.67,0.0
O00065,2026-02-22,S02,Hamburg,P03,Dairy,3,1.27,0.05
O00066,2026-03-02,S02,Hamburg,P02,Snacks,8,1.94,0.0
O00067,2026-01-30,S02,Hamburg,P01,Beverages,4,3.43,0.05
O00068,2026-02-05,S03,Munich,P06,Frozen,9,4.12,0.0
O00069,2026-03-10,S03,Munich,P01,Beverages,2,3.76,0.15
O00070,2026-02-03,S01,Berlin,P01,Beverages,10,3.45,0.0
O00071,2026-02-10,S04,Cologne,P05,Household,9,5.08,0.0
O00072,2026-01-25,S03,Munich,P01,Beverages,7,3.15,0.0
