[2026-03-18 00:36:42,134] INFO tutor: Theory request received | topic=KPIs | difficulty=Beginner
[2026-03-18 00:37:00,363] INFO tutor: Theory response generated | topic=KPIs | difficulty=Beginner | response_time_ms=18229
[2026-03-18 00:37:00,364] ERROR tutor: Theory response failed | topic=KPIs | difficulty=Beginner | response_time_ms=18229 | error=TutorLog() got unexpected keyword arguments: 'student_name'
[2026-03-18 00:38:06,382] INFO tutor: Theory request received | topic=KPIs | difficulty=Beginner
[2026-03-18 00:38:37,040] INFO tutor: Theory response generated | topic=KPIs | difficulty=Beginner | response_time_ms=30657
[2026-03-18 00:38:58,984] INFO tutor: Quiz generated | topic=KPIs | difficulty=Beginner | response_time_ms=1
[2026-03-18 00:38:58,985] ERROR tutor: Quiz generation failed | topic=KPIs | difficulty=Beginner | error=TutorLog() got unexpected keyword arguments: 'student_name'
[2026-03-18 00:40:27,434] INFO tutor: Theory request received | topic=KPIs | difficulty=Beginner
[2026-03-18 00:40:46,507] INFO tutor: Theory response generated | topic=KPIs | difficulty=Beginner | response_time_ms=19073
[2026-03-18 00:41:41,484] INFO tutor: Quiz generated | topic=KPIs | difficulty=Beginner | response_time_ms=1
[2026-03-18 00:42:04,330] INFO tutor: Quiz graded | topic=KPIs | difficulty=Beginner | score=2/5
[2026-03-18 00:53:33,798] INFO tutor: Practical request success | topic=Practical BI | response_time_ms=0
[2026-03-18 00:53:33,800] ERROR tutor: Practical request failed | error=TutorLog() got unexpected keyword arguments: 'student_name'
[2026-03-18 00:55:11,442] INFO tutor: Practical request success | topic=Practical BI | response_time_ms=0
[2026-03-18 01:04:46,112] INFO tutor: Practical success | action=average_order_value | response_time_ms=21393
[2026-03-18 11:21:47,775] INFO tutor: Practical success | action=total_revenue | response_time_ms=15649
[2026-03-18 11:26:24,711] INFO tutor: Practical success | action=total_revenue | response_time_ms=17104
[2026-03-18 13:31:58,391] INFO tutor: Practical success | topic=Dashboards | difficulty=Beginner | action=average_order_value | response_time_ms=19311
[2026-03-18 13:57:05,457] INFO tutor: Practical success | topic=SQL | difficulty=Beginner | action=sql_daily_revenue | response_time_ms=22082
[2026-03-18 14:27:50,199] INFO tutor: Theory request received | topic=Predictive Analytics | difficulty=Advanced
[2026-03-18 14:28:10,535] INFO tutor: Theory response generated | topic=Predictive Analytics | difficulty=Advanced | response_time_ms=20336
[2026-03-18 14:28:18,559] INFO tutor: Quiz generated | topic=Predictive Analytics | difficulty=Advanced | response_time_ms=1
[2026-03-18 14:28:42,857] INFO tutor: Quiz graded | topic=Predictive Analytics | difficulty=Advanced | score=1/5
[2026-03-18 16:35:39,860] INFO tutor: Theory request received | topic=SQL | difficulty=Intermediate
